airport_id,airport_name,city,state,latitude,longitude
ABE,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,31.61129,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717
ADK,Adak Airport,Adak,AK,51.87796,-176.64603
